Restaurant,Category,Items,Cost (USD),Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
starbucks,Drink,SB - Comfort Wellness Brewed Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Defense Wellness Brewed Tea,3.25,10,0,3,2,0,0.005
starbucks,Drink,SB - Double Chocolaty Chip Crème Frappuccino® Blended Crème,5.49,290,7,53,49,6,0.26
starbucks,Drink,SB - Emperor's Cloud and Mist® Green Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Espresso Frappuccino® Blended Coffee,4.45,220,1.5,50,48,3,0.21
starbucks,Drink,SB - Featured Dark Roast,2.1,5,0,0,0,1,0.01
starbucks,Drink,SB - Honey Citrus Mint Tea,3.25,140,0,36,33,0,0
starbucks,Drink,SB - Hot Chocolate,3.25,320,9,47,41,14,0.16
starbucks,Drink,SB - Iced Blueberry Black Tea,3.25,100,0,24,21,0,0.015
starbucks,Drink,SB - Iced Blueberry Black Tea Lemonade,3.25,120,0,30,27,0,0.015
starbucks,Drink,SB - Iced Chai Tea Latte,3.25,240,4,44,42,7,0.11
starbucks,Drink,SB - Iced Coffee,2.65,80,0,20,20,0,0.01
starbucks,Drink,SB - Iced Coffee with Milk,2.65,110,1.5,23,23,2,0.04
starbucks,Drink,SB - Iced Guava White Tea,3.25,110,0,27,23,0,0.02
starbucks,Drink,SB - Iced Guava White Tea Lemonade,3.25,130,0,33,29,0,0.02
starbucks,Drink,SB - Iced Matcha Green Tea Latte,3.25,200,4,33,29,8,0.1
starbucks,Drink,SB - Iced Peach Green Tea,3.25,100,0,25,23,0,0.02
starbucks,Drink,SB - Iced Peach Green Tea Lemonade,3.25,130,0,31,29,0,0.02
starbucks,Drink,SB - Iced Starbucks® Blonde Caffè Latte,4.55,130,4.5,13,11,8,0.115
starbucks,Drink,SB - Iced Starbucks® Blonde Caramel Cloud Macchiato,4.45,170,4,28,24,5,0.115
starbucks,Drink,SB - Iced Starbucks® Blonde Cocoa Cloud Macchiato,4.45,180,4.5,30,25,6,0.14
starbucks,Drink,SB - Iced Starbucks® Blonde Flat White,4.55,130,4.5,13,11,8,0.12
starbucks,Drink,SB - Iced Starbucks® Blonde Vanilla Latte,4.55,180,4.5,27,25,8,0.11
starbucks,Drink,SB - Iced Teavana® London Fog Tea Latte,3.25,140,2.5,25,25,4,0.07
starbucks,Drink,SB - Iced Vanilla Bean Coconutmilk Latte,4.55,180,5,26,25,9,0.125
starbucks,Drink,SB - Iced White Chocolate Mocha,4.45,300,8,47,46,10,0.19
starbucks,Drink,SB - Jade Citrus Mint Green Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Jade Citrus Mint™ Brewed Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Java Chip Frappuccino® Blended Coffee,4.45,340,6,68,63,5,0.26
starbucks,Drink,SB - Latte Macchiato,4.45,190,7,19,17,12,0.16
starbucks,Drink,SB - Matcha Green Tea Crème Frappuccino® Blended Crème,4.45,300,3,64,63,5,0.23
starbucks,Drink,SB - Matcha Green Tea Latte,3.25,240,7,34,32,12,0.16
starbucks,Drink,SB - Matcha Lemonade,3.25,120,0,29,27,1,0.01
starbucks,Drink,SB - Mint Majesty™ Herbal Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Mocha Frappuccino® Blended Coffee,4.45,290,3,61,58,4,0.23
starbucks,Drink,SB - Peach Tranquility® Herbal Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Pike Place® Roast,2.1,5,0,0,0,1,0.01
starbucks,Drink,SB - Pumpkin Cream Cold Brew,3.25,250,12,31,31,3,0.055
starbucks,Drink,SB - Pumpkin Spice Crème,4.45,320,7,51,50,15,0.25
starbucks,Drink,SB - Pumpkin Spice Frappuccino® Blended Beverage,4.95,320,2,71,70,5,0.28
starbucks,Drink,SB - Pumpkin Spice Frappuccino® Blended Crème,4.95,250,2.5,50,50,6,0.26
starbucks,Drink,SB - Pumpkin Spice Latte,4.95,310,7,50,48,14,0.23
starbucks,Drink,SB - Rev Up Wellness Brewed Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Royal English Breakfast Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Royal English Breakfast Tea Latte,3.25,150,4,21,21,7,0.105
starbucks,Drink,SB - Salted Caramel Hot Chocolate,4.45,390,9,66,59,13,0.3
starbucks,Drink,SB - Salted Caramel Mocha,4.95,360,8,61,53,12,0.28
starbucks,Drink,SB - Salted Caramel Mocha Frappuccino® Blended Beverage,4.95,300,2.5,65,62,4,0.27
starbucks,Drink,SB - Skinny Mocha,4.65,170,1.5,24,15,14,0.15
starbucks,Drink,SB - Starbucks Doubleshot® on Ice Beverage,4.95,100,1,20,18,3,0.04
starbucks,Drink,SB - Starbucks® Blonde Caffè Latte,4.75,190,7,19,18,13,0.17
starbucks,Drink,SB - Starbucks® Blonde Caramel Cloud Macchiato,4.95,270,7,39,34,11,0.2
starbucks,Drink,SB - Starbucks® Blonde Cocoa Cloud Macchiato,4.95,280,8,41,36,12,0.24
starbucks,Drink,SB - Starbucks® Blonde Doubleshot® On Ice,4.95,80,1,15,13,3,0.04
starbucks,Drink,SB - Starbucks® Blonde Flat White,4.95,180,7,18,17,12,0.16
starbucks,Drink,SB - Starbucks® Blonde Iced Pumpkin Spice Latte,4.95,220,4.5,37,35,10,0.17
starbucks,Drink,SB - Starbucks® Blonde Iced Salted Caramel Mocha,4.95,260,5,44,38,8,0.19
starbucks,Drink,SB - Starbucks® Blonde Pumpkin Spice Latte,4.95,280,7,42,40,13,0.21
starbucks,Drink,SB - Starbucks® Blonde Salted Caramel Mocha,4.95,320,8,50,43,12,0.24
